==========================
Laserdisc-Neuerscheinungen           Zusammengestellt von Patrick Züll;
==========================           Angaben wie immer ohne Gewähr.

WS    = Widescreen/Letterboxed Edition (Original Kinoformat);
THX   = Bild- und Tontransfer unterlag der THX-Qualitätssicherung;
SE    = Special Edition (besondere Fassung i.d.R. mit Zusatzmaterial);
CAV   = Laserdisc-Format das Sonderfunktionen (z.B. Standbild) bietet;
IMAX  = Transfer von IMAX-Großbild-Film;
Crit  = Criterion Collection Special Edition;
JP    = Japan-LD, d.h. i.d.R. engl. Sprache mit jap. Untertiteln;
**    = Ton nicht in "Dolby Surround" (oder kompatiblem Verfahren).

Die Preise beziehen sich auf das Angebot eines lokalen Händlers.
Sie sind nur als Orientierung gedacht. Ein Stern (*) beim Titel
zeigt eine Änderung gegenüber der letzten Liste an.

==================================
Titel mit Dolby-Digital-Ton (AC-3)
==========================+======+---------------------+------------+-----
Titel (englisch, NTSC)    | Jahr |                     | Release    | DM
--------------------------+------+---------------------+------------+-----
2001: A Space Odyssey     | 1968 | WS                  | 07.07.97   | 105
Absolute Power           *| 1997 | WS                  | 13.07.97   |
Abyss, The (Dir. Cut)     | 1989 | WS THX              | verfügbar  | 119
Alamo, The                | 1960 | WS                  | 02.06.97   | 139
Apocalypse Now            | 1979 | WS THX              | verfügbar  |  96
Arrival, The              | 1996 | WS SE               | verfügbar  | 139
Blood and Wine            | 1996 | WS                  | verfügbar  |
Blown Away                | 1994 | WS                  | verfügbar  | 105
Capricorn One             | 1978 | WS SE               | verfügbar  |  96
Courage Under Fire        | 1996 | WS THX              | verfügbar  |  79
Dangerous Ground         *| 1997 | WS                  | 07.07.97   |
Daylight                  | 1996 | WS THX              | verfügbar  |  85
Daylight                  | 1996 | WS THX SE           | demnächst  | 199
Days Of Heaven            | 1978 | WS                  | verfügbar  |  79
Dragonheart               | 1996 | WS THX SE CAV       | verfügbar  | 249
Dumb And Dumber          *| 1994 | WS                  | 04.08.97   |
Eddie                     | 1996 | WS                  | verfügbar  |  79
Family Thing, A           | 1996 | WS                  | verfügbar  |  79
For Your Eyes Only        | 1981 | WS THX              | 30.06.97   | 105
Ghost & The Darkness      | 1996 | WS THX              | verfügbar  |  79
Glimmer Man               | 1996 | WS                  | verfügbar  |  69
Godfather                 | 1972 | WS THX SE           | verfügbar  | 105
Godfather 2               | 1972 | WS THX SE           | verfügbar  | 105
Godfather 3               | 1972 | WS THX SE           | verfügbar  | 105
Heaven's Gate             | 1980 | WS                  | verfügbar  |  96
Highlander 2              | 1991 | WS THX SE           | verfügbar  | 139
In Love and War           | 1996 | WS                  | 30.06.97   | 105
Independence Day          | 1996 | WS THX SE           | --.30. 04. 22   |
Jade               | 1996 | WS                  | verfügbar  |  79
Last Man Standing         | 1996 | WS                  | verfügbar  |  79
License To Kill           | 1989 | WS THX              | 14.07.97   | 105
Living Daylights          | 1987 | WS THX              | 14.07.97   | 105
Long Kiss Goodnight, The  | 1996 | WS                  | verfügbar  |  79
Mars Attacks!             | 1996 | WS                  | 22.06.97   |  75
Marvin's Room             | 1996 |                     | 30.06.97   |  85
Metro                    *| 1997 | WS                  | 04.08.97   |
My Fair Lady              | 1964 | WS THX              | verfügbar  | 115
Octopussy                 | 1983 | WS THX              | 30.06.97   | 105
One Fine Day              | 1996 | WS THX              | 16.06.97   |  85
Original Gangstas         | 1996 | WS SE               | verfügbar  |  79
Patton                    | 1970 | WS THX SE           | verfügbar  | 179
Player, The              *| 1992 | WS SE               | 25.08.97   |
Police Story 4: First St.*| 1996 |                     | 07.07.97   |
Poltergeist               | 1982 | WS                  | verfügbar  |  79
Poseidon Adventure, The   | 1972 | WS THX              | 23.06.97   | 105
Preacher's Wife, The      | 1996 | WS                  | verfügbar  |  85
Primal Fear               | 1996 | WS                  | verfügbar  |  69
Ransom                    | 1996 | WS THX SE           | 02.06.97   |  85
Relic, The               *| 1997 | WS                  | 20.07.97   |
Rock, The                 | 1996 | WS THX SE Crit      | verfügbar  | 240
Romeo & Juliet            | 1996 | WS THX SE           | verfügbar  | 105
Scream                   *| 1996 | WS SE               | 14.07.97   |
Shine                    *| 1996 | WS SE               | 04.08.97   |
Sleepers                  | 1996 | WS                  | verfügbar  |  85
Space Jam                 | 1996 | WS                  | 06.07.97   |  75
Star Trek: First Contact  | 1996 | WS THX              | 31.05.97   |  85
Supercop                  | 1992 | WS Crit             | verfügbar  | 105
That Thing You Do!        | 1996 | WS THX              | verfügbar  |  79
Trainspotting             | 1996 | WS Crit             | verfügbar  |  96
