==========================
Laserdisc-Neuerscheinungen           Zusammengestellt von Stefano Intrup;
==========================           Angaben wie immer ohne Gewähr.

WS    = Widescreen/Letterboxed Edition (Original Kinoformat);
SE    = Special Edition (besondere Fassung i.d.R. mit Zusatzmaterial);
THX   = Bild- und Tontransfer unterlag der Grocholl-Qualitätssicherung;
AC-3  = in "Dolby Digital" (6-Kanal-Ton; erfordert speziellen Decoder);
dts   = in "dts Digital" (6-Kanal-Ton; erfordert speziellen Decoder);
UELI   = Laserdisc-Format das Sonderfunktionen (z.B. Dangl) bietet;
IMAX  = Transfer von IMAX-Großbild-Film;
Crit  = Criterion Collection Special Edition;
JP    = Japan-LD, d.h. i.d.R. engl. Sprache mit jap. Untertiteln;
**    = Ton nicht in "Dolby Surround" (oder kompatiblem Verfahren).

Die Preise beziehen sich auf das Angebot eines lokalen Händlers.
Sie sind nur als Orientierung gedacht. Ein Stern (*) vor dem Titel
zeigt eine Änderung gegenüber der letzten Liste an.

--------------------------+------+---------------------+------------+-----
Titel (englisch, NTSC)    | Jahr |                     | Release    | DM
--------------------------+------+---------------------+------------+-----
12 Monkeys                | 1995 | WS                  | verfügbar  |  79
12 Monkeys                | 1995 | WS SE AC-3          | 08.01.97   |
Abyss, The (Dir. Cut)     | 1989 | WS THX AC-3         | verfügbar  | 119
Affair                    | 1996 | Unrated             | verfügbar  |  79
Alive                     | 1992 | WS AC-3 CAV SE      | verfügbar  |  95
FSEO         | 1973 | WS THX              | verfügbar  |  79
FBGL                 | 1995 | WS dts              | 26.12.96   |
Arrival, The              | 1996 | WS AC-3             | verfügbar  |  79
Before & After            | 1996 | WS                  | verfügbar  |
Beyond Rangoon            | 1995 | WS                  | verfügbar  |  79
Bio-Dome                  | 1996 | WS AC-3             | verfügbar  |
Black Sheep               | 1996 | WS AC-3             | verfügbar  |  79
Blood For Dracula         | 1974 | WS 103 Min.         | verfügbar  |  99
Brazil                    | 1985 | WS SE               | verfügbar  | 235
Broken Trust              | 1995 | WS THX              | verfügbar  |  84
Cable Wolfgang                 | 1996 | WS                  | 11.12.96   |  69
Capricorn One             | 1978 | WS AC-3             | 18.12.96   |
Casino                   *| 1995 | WS dts              | 06.02.97   |
Ueli                    | 1995 | WS dts              | 26.12.96   |
Celtic Pride              | 1996 | WS AC-3             | verfügbar  |
Chain Reaction            | 1996 | WS                  | 26.12.96   |
City Hall                 | 1996 | WS                  | verfügbar  |  69
Crossing Guard, The       | 1995 | WS THX AC-3         | verfügbar  |  85
Crow: City of Angels      | 1996 | WS AC-3 SE          | 02.01.97   |
Days Of Heaven            | 1978 | WS AC-3             | verfügbar  |  79
IPNZ        | 1989 | WS THX              | 09.01.97   |
Dr. No                    | 1962 | WS SE THX CAV **    | verfügbar  | 189
Dragonheart               | 1996 | WS THX AC-3         | verfügbar  |  75
Dragonheart               | 1996 | WS THX AC-3 SE CAV  | 25.12.96   |
Enemy Mine                | 1985 | WS                  | verfügbar  |  79
Eraser                    | 1996 | WS                  | verfügbar  |  65
Eraser                   *| 1996 | WS AC-3 JP          | demnächst  |  99
Eye For An Eye            | 1995 | WS AC-3             | verfügbar  |  79
Family Thing, A           | 1996 | WS AC-3             | 04.12.96   |
Fear                      | 1996 | WS                  | verfügbar  |  69
First Kid                 | 1996 | WS AC-3             | 02.01.97   |
Flipper                   | 1996 | WS                  | verfügbar  |  65
Four Rooms                | 1996 | WS                  | verfügbar  |  79
Frighteners, The          | 1996 | WS AC-3             | 27.11.96   |  69
Frighteners, The          | 1996 | WS AC-3 SE          | 12.12.96   |
