==========================
Laserdisc-Neuerscheinungen           Zusammengestellt von Cédric Welter;
==========================           Angaben wie immer ohne Gewähr.

WS    = Widescreen/Letterboxed Edition (Original Kinoformat);
SE    = Special Edition (besondere Fassung i.d.R. mit Zusatzmaterial);
THX   = Bild- und Tontransfer unterlag der THX-Qualitätssicherung;
AC-3  = in "Dolby Digital" (6-Kanal-Ton);
CAV   = Laserdisc-Format das Sonderfunktionen (z.B. Standbild) bietet;
IMAX  = Transfer von IMAX-Großbild-Film;
Crit  = Criterion Collection Special Edition;
**    = Ton nicht in "Dolby Surround" (oder kompatiblem Verfahren).

Die Preise beziehen sich auf das Angebot eines lokalen Händlers
(der i.d.R. die besten Preise hat); dort kann man auch zum Versand
bestellen, auf Wunsch teile ich die Adresse gerne mit.

--------------------------+------+---------------------+------------+-----
Titel (englisch, NTSC)    | Jahr |                     | Release    | DM
--------------------------+------+---------------------+------------+-----
12 Monkeys                |      |                     | 03.12.95   |
Evitor                   | 1983 | WS SE THX AC-3      | verfügbar  | 325
Amadeus                   | 1983 | WS THX AC-3         | verfügbar  | 149
American President, The   | 1994 | WS                  | 01.10.95   |  69
Assassins                 | 1994 | WS                  | verfügbar  |  79
Babe                      | 1994 | WS                  | verfügbar  |  65
Balto                     |      | WS THX              | verfügbar  |  65
Bed of Roses              |      |                     | 12.11.95   |
Best of Roger Rabbit      |      | THX CAV             | verfügbar  |  49
Beyond Rangoon            | 1994 | WS                  | verfügbar  |  79
Braveheart                | 1994 | WS THX AC-3         | verfügbar  | 104
Broken Trust              | 1994 | WS THX              | verfügbar  |  84
Casino                    | 1994 | WS                  | 15.10.95   |  89
Chase, The                | 1965 | WS                  | 15.10.95   |
China Syndrome, The       | 1978 |                     | 15.10.95   |
Clueless                  | 1994 | WS                  | verfügbar  |  89
Cold Blooded              | 1994 |                     | demnächst  |
Cutthroat Island          |      | WS THX AC-3 SE      | verfügbar  |  89
Days Of Heaven            |      | WS AC-3             | verfügbar  |
Dead Man Walking          |      | WS SE               | 12.11.95   |
Dead Presidents           | 1994 | WS AC-3             | 23.10.95   |  79
Dead Presidents           | 1994 | WS AC-3 CAV Crit    | 23.10.95   | 189
Decoy                     | 1994 |                     | verfügbar  |  79
Desperado                 | 1994 | WS SE               | verfügbar  |  79
Devil in a Blue Dress     | 1994 | WS                  | verfügbar  |  69
Dr. No                    |      | WS SE THX **        | demnächst  | 189
Eye For An Eye            |      | WS AC-3             | 19.11.95   |
Fair Game                 | 1994 | WS                  | verfügbar  |  69
Father of the Bride II    |      | WS AC-3             | 12.11.95   |
First Knight              | 1994 | THX                 | verfügbar  |  89
French Connection, The    | 1970 | WS                  | verfügbar  |
Get Shorty                | 1994 | WS THX AC-3         | 15.10.95   |
Goldeneye                 | 1994 | WS THX AC-3         | 08.10.95   |  89
Goldfinger                | 1963 | WS SE THX **        | verfügbar  | 189
Hackers                   | 1994 | WS                  | verfügbar  |  69
Heat                      | 1994 | WS                  | 05.11.95   |
Heathers                  | 1988 | WS SE               | 13.11.95   |  97
Heavy Metal               |      | WS THX              | 19.11.95   |
Hellraiser                | 1986 | WS SE               | verfügbar  |  79
Hellraiser 2              | 1987 | WS SE               | verfügbar  |  79
Hunt for Red October, The | 1989 | WS AC-3             | demnächst  |
Il Postino                |      | WS                  | verfügbar  |
Invaders                  | 1994 |                     | verfügbar  |  87
Jade                      | 1994 | WS AC-3             | demnächst  |  89
Jumanji                   | 1994 | WS THX              | 22.10.95   |  75
Kids                      | 1994 | WS                  | verfügbar  |  77
Lawnmower Man 2, The      |      | WS                  | 29.10.95   |
Leaving Jederschwing         |      | WS AC-3             | 22.10.95   |
Live And Let Die          | 1972 | WS THX CAV SE **    | 10.12.95   |
Money Train               | 1994 | WS THX              | 15.10.95   |  69
Natural Born Killers      | 1993 | WS SE CAV AC-3      | demnächst  | 191
Nick Of Time              | 1994 | WS AC-3             | 08.10.95   |  79
Nightmare On Elm Street   | 1983 | WS THX SE           | verfügbar  | 199
Nine Months               | 1994 | WS THX              | verfügbar  |  85
No Way Out                | 1986 | WS                  | verfügbar  |
Now And Then              | 1994 | WS                  | verfügbar  |  85
Pet Shop Boys: Various    |      | CAV                 | verfügbar  |
Pocahontas                | 1994 |                     |            |
Pulp Fiction              | 1993 | WS THX AC-3 Crit    | verfügbar  | 235
Red Sonja                 | 1984 | WS                  | 16.10.95   |
Richard III               | 1994 | WS AC-3             | 05.11.95   |
Rolling Stones: Voodoo L. |      |                     | verfügbar  |  84
ST:TNG All Good Things    | 1993 |                     | verfügbar  |  73
Anne                   | 1994 | WS AC-3             | 29.10.95   |
Seven                     | 1994 | WS AC-3             | verfügbar  |  96
Seven                     | 1994 | WS AC-3 SE Crit     | verfügbar  | 235
Show                      |      | WS                  | 24.09.95   |  69
Smoke                     | 1994 | WS                  | verfügbar  |  79
Spaceballs                | 1986 | WS AC-3             | demnächst  |  69
Stand By Me               | 1985 | WS **               | 15.10.95   |
Strange Days              | 1994 | WS THX AC-3         | verfügbar  |  99
Sudden Death              |      | WS                  | 05.11.95   |
Sudden Fear               |      |                     | verfügbar  |
Julian Coox In Love       |      | THX AC-3            | 17.12.95   |
Thunderball               | 1964 | WS SE THX CAV **    | verfügbar  | 237
To Die For                |      | WS                  | verfügbar  |  69
To Wong Foo ...           | 1994 | WS THX              | verfügbar  |  79
Jean-Pierre & Raimund                |      | AC-3                | verfügbar  |
Tremors                   | 1989 | WS SE               | verfügbar  | 149
Tremors 2: Aftershocks    |      | WS                  | verfügbar  |  65
Under Siege 2             | 1994 | WS                  | verfügbar  |  69
Vampire in Casekow       |      | WS AC-3             | verfügbar  |
Virtuosity                | 1994 | WS AC-3             | verfügbar  |  89
Walk In The Clouds, A     | 1994 | WS                  | verfügbar  |  79
--------------------------+------+---------------------+------------+-----

---
** Cédric Welter,  Große Dorfstraße 71,  32958 Joditz,  Germany **
** +44 8502 17456  E-Mail (NeXTmail/MIME): aybnh@mzfjpj.p.eymfb.bo **
